riga;nome attributo;valore da imputare;valore imputato
546;Country;France;Netherlands
547;Country;United Kingdom;Germany
654;Delivery_Year_;1975;?
655;Delivery_Year_;1980;?
371;Order_Month;Jan;?
372;Order_Month;Jan;?
373;Order_Month;Apr;Sep
89;Engine;CF;?
90;Engine;CF;?
91;Engine;CF;?
258;Country;USA;Mauritania
259;Country;United Kingdom;Ireland
260;Country;Australia;Australia
353;Country;Norway;?
354;Country;Portugal;USA
528;Delivery_Year_;2013;?
529;Delivery_Year_;2005;?
594;Country;Japan;Italy
444;Order_Month;Feb;Sep
789;Region;North America;?
673;Region;North America;?
330;Model_Series;777F;?
331;Model_Series;737-900ER;?
332;Model_Series;737-800;?
491;Order_Month;Feb;Jul
492;Order_Month;May;?
493;Order_Month;Mar;Sep
849;Engine;CF;?
816;Customer_Name;Swissair;?
817;Customer_Name;Arkia Israeli Airlines;?
818;Customer_Name;Volga-Dnepr UK Ltd;Air France-KLM Group
320;Order_Year;1991;?
321;Order_Year;1990;?
792;Engine;PW;?
793;Engine;PW;?
794;Engine;GE;?
885;Region;North America;?
400;Delivery_Total;3;3
836;Delivery_Total;2;?
837;Delivery_Total;2;?
811;Region;Caribbean;?
384;Engine;BR;?
385;Engine;PW;?
386;Engine;PW;?
187;Engine;PW;?
188;Engine;PW;?
189;Engine;PW;?
157;Order_Month;Dec;Apr
158;Order_Month;Jan;?
145;Model_Series;707/720;?
661;Country;USA;Netherlands
662;Country;Luxembourg;Ireland
65;Delivery_Year_;2018;?
870;Order_Year;1980;?
761;Engine;GE;?
762;Engine;GE;?
155;Country;USA;USA
156;Country;Portugal;Netherlands
785;Delivery_Year_;1982;?
196;Order_Year;1989;?
197;Order_Year;1982;?
806;Order_Total;1;1
807;Order_Total;3;1
240;Order_Year;1968;?
241;Order_Year;2004;?
187;Order_Month;Apr;Dec
448;Order_Year;1978;?
449;Order_Year;2010;?
450;Order_Year;1967;?
87;Model_Series;737-400;?
88;Model_Series;737 MAX;?
39;Model_Series;737-300;?
837;Region;Europe;?
838;Region;Middle East;?
576;Delivery_Year_;2001;?
624;Customer_Name;Saudi Arabian Airlines;?
625;Customer_Name;Socialist Republic of Romania;?
552;Delivery_Year_;1977;?
553;Delivery_Year_;1967;?
157;Order_Total;1;?
598;Order_Total;2;1
311;Order_Year;2014;?
205;Customer_Name;Avianca El Salvador;BDS Japan International Tanker
206;Customer_Name;GB Airways;Security Pacific EuroFinance
126;Order_Year;1971;?
572;Delivery_Total;2;3
573;Delivery_Total;1;2
678;Order_Total;2;1
679;Order_Total;1;1
410;Model_Series;737-300;?
411;Model_Series;DC-8;?
412;Model_Series;DC-9;?
821;Customer_Name;Far Eastern Air Transport;?
237;Region;Africa;?
238;Region;North America;?
239;Region;Europe;?
394;Order_Month;Jan;?
395;Order_Month;Oct;?
396;Order_Month;Feb;?
4;Order_Month;Apr;Apr
5;Order_Month;Nov;Oct
6;Order_Month;Jan;Jan
323;Order_Total;1;1
579;Customer_Name;Avianca Costa Rica;?
181;Delivery_Year_;2012;?
828;Delivery_Total;4;3
405;Customer_Name;buzz;?
406;Customer_Name;MyTravel Airways;?
555;Order_Year;1997;?
556;Order_Year;2011;?
812;Country;Taiwan;Venezuela
813;Country;Turkey;Nigeria
814;Country;Iraq;USA
246;Model_Series;727;?
784;Delivery_Year_;1989;?
368;Delivery_Total;1;2
369;Delivery_Total;2;?
370;Delivery_Total;1;?
300;Order_Year;1993;?
301;Order_Year;1975;?
302;Order_Year;2008;?
489;Engine;PW;?
490;Engine;CF;?
57;Customer_Name;Goiania;Standard Chartered Aviation Fi
188;Region;North America;?
189;Region;North America;Central America and Mexico
429;Engine;PW;PW
430;Engine;CF;?
431;Engine;PW;?
489;Order_Month;Jan;?
230;Delivery_Year_;1984;?
359;Engine;RR;?
360;Engine;PW;?
876;Model_Series;DC-9;?
877;Model_Series;737-800;?
878;Model_Series;737-800;?
818;Order_Total;2;1
819;Order_Total;1;?
805;Order_Total;4;4
331;Region;Central Asia;?
332;Region;Oceania;Oceania
333;Region;North America;?
581;Region;Europe;?
582;Region;Europe;?
583;Region;Europe;?
819;Delivery_Total;1;5
820;Delivery_Total;1;2
821;Delivery_Total;2;3
651;Order_Year;1982;?
652;Order_Year;1970;?
751;Order_Month;Sep;?
752;Order_Month;Jan;?
753;Order_Month;May;Sep
690;Engine;PW;?
691;Engine;PW;?
692;Engine;PW;?
259;Model_Series;737-700;?
312;Order_Month;Jun;?
263;Model_Series;727;?
264;Model_Series;777-200LR;?
640;Region;North America;?
828;Model_Series;MD-80;?
715;Engine;GE;?
709;Country;Canada;USA
785;Order_Month;Mar;Sep
786;Order_Month;Nov;Sep
787;Order_Month;Feb;?
111;Customer_Name;Wardair;Pacific Northern
392;Region;South America;?
4;Region;North America;?
284;Model_Series;737-800;?
665;Order_Total;1;1
666;Order_Total;1;1
445;Country;Poland;Netherlands
367;Delivery_Total;3;1
419;Region;North America;?
729;Delivery_Year_;1966;?
730;Delivery_Year_;1991;?
186;Delivery_Year_;1975;?
187;Delivery_Year_;1971;?
326;Engine;RR;?
126;Customer_Name;LAM;?
127;Customer_Name;Government of Japan;Sberbank Leasing
128;Customer_Name;Mauritania Airlines;Midwest Airlines Inc.
173;Model_Series;787-9;?
174;Model_Series;757-200;?
718;Delivery_Year_;1973;?
719;Delivery_Year_;1965;?
92;Region;Southeast Asia;?
93;Region;Middle East;?
94;Region;Europe;?
841;Delivery_Total;2;5
842;Delivery_Total;5;?
843;Delivery_Total;2;?
314;Delivery_Year_;1996;?
315;Delivery_Year_;1992;?
722;Customer_Name;Mexicana;?
96;Country;USA;Ireland
242;Order_Month;Jun;?
243;Order_Month;Feb;?
244;Order_Month;Jan;Jan
296;Region;Caribbean;?
297;Region;Europe;?
149;Engine;CF;?
150;Engine;PW;?
591;Delivery_Total;1;3
592;Delivery_Total;1;3
861;Region;East Asia;?
862;Region;East Asia;?
863;Region;Europe;?
661;Delivery_Year_;1997;?
662;Delivery_Year_;1978;?
663;Delivery_Year_;2014;?
153;Model_Series;DC-10;?
111;Engine;PW;?
112;Engine;CF;?
113;Engine;PW;?
833;Order_Total;1;1
834;Order_Total;4;4
29;Customer_Name;CIT Aerospace LLC;Jade Cargo International
30;Customer_Name;Lufthansa Cargo;Onur Air
397;Delivery_Year_;2016;?
861;Delivery_Total;3;2
862;Delivery_Total;1;5
863;Delivery_Total;2;3
478;Order_Total;1;1
479;Order_Total;1;1
616;Country;Mexico;Mauritania
568;Customer_Name;9 Air;Cathay Pacific Airways
98;Order_Month;Sep;?
