riga;nome attributo;valore da imputare;valore imputato
551;Delivery_Year_;2007;2007
424;Engine;CF;CF
477;Customer_Name;South African Airways;?
783;Country;Japan;Japan
576;Delivery_Year_;2013;1990
1260;Delivery_Total;2;?
879;Engine;PW;?
345;Order_Year;1982;?
1144;Country;USA;?
1409;Customer_Name;Transamerica Airlines;?
1480;Order_Total;2;?
461;Delivery_Year_;1989;?
1029;Customer_Name;Midwest Airlines Inc.;?
424;Delivery_Year_;2002;2005
1123;Country;USA;?
1278;Delivery_Total;1;1
1161;Model_Series;737-400;?
678;Order_Month;Sep;?
1264;Delivery_Year_;1990;1987
572;Delivery_Year_;1978;?
1098;Order_Year;2000;?
343;Delivery_Year_;1971;1971
666;Delivery_Year_;1982;?
39;Delivery_Total;12;?
1205;Delivery_Total;1;?
204;Engine;CF;?
946;Customer_Name;Delta Air Lines;?
617;Order_Year;2007;?
1022;Country;Nigeria;?
644;Region;Africa;?
181;Country;Australia;?
246;Delivery_Year_;1999;1997
523;Region;North America;North America
311;Order_Year;1986;1988
1216;Delivery_Year_;1960;1971
550;Region;Southeast Asia;?
734;Order_Month;Jun;?
787;Model_Series;737-800;?
546;Model_Series;777F;?
924;Customer_Name;National Airlines;?
660;Order_Year;2008;?
248;Engine;GE;GE
148;Order_Month;Feb;?
39;Order_Total;12;?
671;Country;Nepal;?
320;Model_Series;727;?
1145;Delivery_Year_;2013;?
507;Order_Month;Jan;?
846;Region;East Asia;East Asia
460;Customer_Name;Air India;?
757;Country;Canada;Canada
745;Order_Month;Jan;?
1390;Country;Canada;?
149;Region;Middle East;Middle East
158;Engine;PW;?
383;Country;Singapore;Singapore
1365;Delivery_Total;16;16
1079;Delivery_Year_;2019;2017
711;Country;Singapore;Singapore
59;Customer_Name;Linjeflyg;?
149;Model_Series;747-400;767-300ER
857;Model_Series;767-200ER;747-400F
148;Order_Year;1968;1966
171;Model_Series;787-9;787-9
1071;Order_Total;8;?
808;Customer_Name;AVIACO;?
1147;Order_Year;1988;1988
224;Delivery_Year_;2011;?
687;Order_Total;1;?
