riga;nome attributo;valore da imputare;valore imputato
207;Delivery_Year_;1967;?
293;Customer_Name;UTair Aviation;?
294;Customer_Name;Donghai Airlines;Jeju Air
747;Order_Total;3;3
748;Order_Total;1;?
775;Order_Total;2;?
776;Order_Total;1;1
266;Order_Month;Dec;?
267;Order_Month;Nov;?
268;Order_Month;May;?
802;Engine;CF;?
803;Engine;GE;?
492;Order_Year;1961;?
493;Order_Year;1979;?
494;Order_Year;1974;?
893;Customer_Name;EgyptAir;?
859;Customer_Name;Novel Leasing;?
860;Customer_Name;Noga Export Import;Sojitz
861;Customer_Name;CDB Aviation;?
182;Customer_Name;Nepal Airlines Corporation;Nepal Airlines Corporation
183;Customer_Name;DAE Aerospace Enterprise;?
69;Delivery_Year_;1982;1982
70;Delivery_Year_;1991;?
71;Delivery_Year_;1982;?
658;Delivery_Year_;2019;?
659;Delivery_Year_;2021;?
660;Delivery_Year_;1996;?
244;Order_Year;1967;?
245;Order_Year;1987;?
246;Order_Year;1979;?
321;Model_Series;MD-80;?
226;Model_Series;747-400F;MD-90
444;Country;China;?
445;Country;Poland;?
446;Country;China;Hong Kong
40;Delivery_Total;2;?
41;Delivery_Total;1;?
42;Delivery_Total;3;?
391;Customer_Name;ITOCHU AirLease B.V.;?
392;Customer_Name;Panair do Brasil;?
836;Order_Year;2009;?
837;Order_Year;1988;?
838;Order_Year;1974;?
2;Order_Total;2;3
119;Country;Italy;Italy
230;Order_Month;Oct;?
231;Order_Month;Feb;?
845;Order_Total;1;?
846;Order_Total;1;?
847;Order_Total;5;1
759;Order_Year;1977;?
760;Order_Year;2002;?
761;Order_Year;2017;?
24;Model_Series;MD-80;?
25;Model_Series;737-800;?
26;Model_Series;DC-9;?
623;Model_Series;737-300;?
655;Order_Year;1980;?
656;Order_Year;1980;?
657;Order_Year;2000;?
620;Customer_Name;Union Aeromaritime Transport;?
621;Customer_Name;Trans European Airways;?
574;Order_Month;Apr;?
575;Order_Month;Jan;?
576;Order_Month;Jun;?
72;Country;Italy;Portugal
73;Country;USA;Colombia
74;Country;Switzerland;Switzerland
211;Model_Series;737 MAX;?
212;Model_Series;747-400F;?
213;Model_Series;737-500;?
842;Delivery_Total;5;1
843;Delivery_Total;2;1
433;Model_Series;727;?
57;Delivery_Total;2;?
58;Delivery_Total;3;?
470;Delivery_Total;1;?
471;Delivery_Total;2;1
472;Delivery_Total;5;?
273;Order_Total;1;1
72;Order_Month;Jan;?
462;Country;Turkey;Ukraine
463;Country;USA;Bolivia
240;Country;Israel;?
241;Country;Japan;Japan
672;Order_Month;Jan;?
673;Order_Month;Apr;?
500;Engine;PW;CF
501;Engine;PW;RR
502;Engine;PW;RR
2;Engine;CF;PW
3;Engine;GE;RR
216;Region;Europe;?
217;Region;Europe;?
87;Country;Czech Republic;Norway
270;Delivery_Total;1;?
7;Engine;PW;PW
265;Engine;PW;CF
266;Engine;RR;?
227;Customer_Name;BDS Australia P-8;?
228;Customer_Name;Air Jamaica-See CBL;Air France
229;Customer_Name;Bank of Communications Leasing;?
721;Delivery_Total;2;?
678;Order_Month;Jan;?
679;Order_Month;Apr;?
680;Order_Month;May;?
753;Order_Month;May;?
754;Order_Month;Nov;?
311;Order_Month;May;?
312;Order_Month;Jun;?
375;Country;China;?
418;Customer_Name;Pakistan International Airline;?
419;Customer_Name;NAS Aviation Services LLC;NAS Aviation Services LLC
187;Delivery_Year_;1971;?
188;Delivery_Year_;1973;?
848;Order_Total;1;1
849;Order_Total;1;?
850;Order_Total;2;?
580;Engine;GE;?
615;Order_Month;Jan;?
272;Engine;CF;PW
225;Delivery_Year_;1969;?
16;Customer_Name;Bavaria;Republic Airlines
17;Customer_Name;Turkish Air Force Peace Eagle;?
285;Region;Europe;?
286;Region;Europe;?
144;Delivery_Year_;1979;?
145;Delivery_Year_;1974;?
146;Delivery_Year_;1974;?
67;Customer_Name;Icelandair;?
68;Customer_Name;Air Algerie;?
69;Customer_Name;Dubai Air Wing;?
515;Order_Month;May;?
875;Model_Series;737-300;?
593;Order_Month;Jan;?
594;Order_Month;Jan;?
607;Delivery_Total;3;?
608;Delivery_Total;1;?
609;Delivery_Total;1;?
14;Region;South America;?
15;Region;North America;?
16;Region;Europe;?
159;Country;Azerbaijan;?
340;Engine;RR;?
341;Engine;CF;RR
342;Engine;CF;GE
513;Region;Middle East;?
59;Region;Southeast Asia;?
60;Region;Southeast Asia;?
197;Delivery_Year_;1982;?
198;Delivery_Year_;1998;?
199;Delivery_Year_;1983;?
463;Delivery_Total;1;?
464;Delivery_Total;1;?
465;Delivery_Total;2;?
125;Order_Total;4;?
588;Order_Year;1994;?
589;Order_Year;1969;?
590;Order_Year;1971;?
398;Order_Total;2;?
549;Order_Year;2004;?
550;Order_Year;1979;?
884;Delivery_Total;4;?
13;Country;Netherlands;Belgium
540;Order_Year;1966;?
792;Country;Spain;Germany
793;Country;USA;?
794;Country;Brazil;?
607;Model_Series;757-200;?
608;Model_Series;727;?
609;Model_Series;737-200;?
500;Country;Guinea;Tanzania United Republic of
501;Country;Mexico;?
187;Model_Series;DC-9;?
188;Model_Series;737-100;?
189;Model_Series;767-2C;?
635;Model_Series;737-800;?
680;Model_Series;737-500;?
681;Model_Series;737-200;?
593;Order_Total;1;1
594;Order_Total;1;1
233;Customer_Name;Reno Air;?
642;Delivery_Year_;1974;?
643;Delivery_Year_;2019;?
685;Engine;PW;CF
12;Order_Total;1;3
13;Order_Total;1;3
786;Region;North America;?
787;Region;East Asia;?
788;Region;Middle East;?
859;Engine;CF;?
195;Order_Month;Jan;?
219;Model_Series;737-700;?
367;Region;Oceania;Oceania
368;Region;Oceania;?
657;Delivery_Total;1;?
652;Country;USA;Bolivia
653;Country;United Kingdom;Denmark
325;Order_Total;2;?
326;Order_Total;2;1
327;Order_Total;1;?
504;Order_Month;May;?
505;Order_Month;Feb;?
256;Order_Total;2;?
4;Order_Total;2;3
5;Order_Total;3;3
6;Order_Total;2;3
855;Order_Total;1;?
891;Country;Switzerland;?
892;Country;USA;Venezuela
83;Order_Year;1969;?
432;Model_Series;DC-9;?
434;Model_Series;DC-8;?
748;Model_Series;737-800;?
749;Model_Series;737-800A;?
319;Region;North America;?
485;Delivery_Year_;2022;?
327;Engine;PW;CF
328;Engine;PW;?
433;Customer_Name;All Nippon Airways Co. Ltd.;?
434;Customer_Name;Airlift International;?
435;Customer_Name;Uzbekistan Airways;?
531;Delivery_Total;4;?
346;Customer_Name;BDS UK P-8;BDS Norway P-8
347;Customer_Name;SMBC Aviation Capital;?
16;Order_Total;2;3
17;Order_Total;1;1
18;Order_Total;1;1
151;Order_Year;1968;?
152;Order_Year;1987;?
852;Model_Series;737-200;?
853;Model_Series;777F;?
797;Delivery_Year_;2002;?
798;Delivery_Year_;1967;?
799;Delivery_Year_;1979;?
807;Country;Nigeria;Ethiopia
808;Country;Ukraine;Romania
880;Order_Month;Jan;?
881;Order_Month;Feb;?
744;Delivery_Total;1;?
745;Delivery_Total;1;?
508;Customer_Name;Trans-Australia Airlines;Ansett Australia
507;Order_Month;Jan;?
726;Delivery_Total;2;?
73;Order_Month;Jan;?
74;Order_Month;Sep;?
432;Order_Year;1974;?
433;Order_Year;1964;?
434;Order_Year;1963;?
713;Country;Malaysia;?
172;Customer_Name;Air Jamaica-See CBL;?
34;Customer_Name;VivaAerobus;?
35;Customer_Name;World Airways Inc.;?
891;Region;Europe;?
892;Region;North America;?
685;Order_Total;1;1
686;Order_Total;2;?
757;Delivery_Year_;1968;?
758;Delivery_Year_;1977;?
759;Delivery_Year_;1978;?
584;Order_Total;1;?
585;Order_Total;1;?
835;Order_Total;6;?
836;Order_Total;2;?
837;Order_Total;2;1
602;Order_Total;1;?
848;Model_Series;777F;727
495;Delivery_Year_;1966;?
113;Region;Europe;?
114;Region;East Asia;?
642;Order_Year;1973;?
241;Order_Month;Jan;?
170;Engine;PW;GE
171;Engine;CF;?
797;Region;East Asia;?
798;Region;North America;?
586;Region;Europe;?
587;Region;Africa;?
588;Region;East Asia;?
693;Delivery_Year_;1999;?
694;Delivery_Year_;1990;?
695;Delivery_Year_;1976;?
196;Delivery_Year_;1990;?
10;Region;Europe;?
321;Region;Europe;?
322;Region;Europe;?
70;Engine;CF;?
71;Engine;PW;RR
72;Engine;PW;?
485;Region;East Asia;?
486;Region;Africa;?
329;Order_Total;8;8
330;Order_Total;1;?
778;Order_Year;2005;?
779;Order_Year;2007;?
780;Order_Year;1993;?
468;Country;USA;Uruguay
469;Country;Oman;Israel
470;Country;Madagascar;Gabon
624;Order_Year;1977;?
625;Order_Year;1979;?
794;Region;South America;?
795;Region;Europe;?
796;Region;East Asia;?
227;Delivery_Year_;2018;?
228;Delivery_Year_;1969;?
229;Delivery_Year_;2018;?
183;Region;Europe;?
520;Order_Month;Apr;?
521;Order_Month;Aug;?
425;Delivery_Year_;1967;?
426;Delivery_Year_;1987;?
427;Delivery_Year_;1981;?
772;Order_Total;2;1
773;Order_Total;1;1
774;Order_Total;2;1
481;Delivery_Total;4;?
482;Delivery_Total;1;?
867;Delivery_Year_;1960;?
868;Delivery_Year_;2005;2004
143;Region;Europe;?
144;Region;North America;?
322;Order_Month;Sep;?
323;Order_Month;Jan;?
767;Order_Year;1988;?
768;Order_Year;1966;?
542;Delivery_Year_;1993;?
242;Customer_Name;Cyprus Turkish Airlines (KTHY);?
243;Customer_Name;Martinair Cargo;?
343;Region;Europe;?
344;Region;North America;?
345;Region;North America;?
178;Customer_Name;MG Aviation Limited;?
114;Order_Total;2;1
58;Model_Series;727;?
59;Model_Series;787-9;?
769;Region;South Asia;?
44;Customer_Name;Royal Brunei Airlines;Singapore Airlines
45;Customer_Name;China Eastern Yunnan Airlines;MCAP Japan01 Limited
886;Engine;CF;?
792;Engine;PW;?
582;Engine;PW;?
39;Order_Total;1;1
477;Delivery_Year_;1987;?
777;Country;Kuwait;Gabon
778;Country;State of Libya;?
371;Delivery_Year_;2006;?
372;Delivery_Year_;2015;?
373;Delivery_Year_;1970;?
824;Model_Series;727;?
48;Delivery_Total;2;?
38;Delivery_Total;2;?
821;Engine;PW;CF
818;Region;Europe;?
819;Region;North America;?
129;Order_Year;1971;?
130;Order_Year;2018;?
631;Engine;CF;RR
632;Engine;PW;?
301;Order_Year;1975;?
302;Order_Year;2008;?
303;Order_Year;1988;?
24;Country;Turkey;?
25;Country;Nigeria;Nigeria
26;Country;USA;Argentina
93;Delivery_Year_;1975;?
94;Delivery_Year_;1981;1979
367;Order_Total;3;3
368;Order_Total;1;1
248;Region;North America;?
249;Region;North America;?
250;Region;Middle East;?
199;Customer_Name;Transbrasil;?
200;Customer_Name;Pan Am World Airways;Purdue Airlines
201;Customer_Name;Ceiba Intercontinental;?
188;Country;USA;Brazil
540;Region;Africa;?
591;Order_Total;1;?
315;Order_Month;Mar;?
316;Order_Month;Jan;?
7;Order_Year;1976;?
8;Order_Year;2000;?
9;Order_Year;2000;?
319;Model_Series;DC-8;?
295;Customer_Name;AirBridgeCargo Airlines;?
296;Customer_Name;Bahamasair;?
871;Order_Total;1;9
872;Order_Total;2;8
2;Order_Year;2002;?
3;Order_Year;1982;?
440;Engine;CF;?
685;Region;North America;?
121;Country;USA;Bolivia
122;Country;USA;Venezuela
27;Order_Month;Dec;?
64;Country;Netherlands;Netherlands
65;Country;South Korea;China
75;Order_Month;Apr;?
76;Order_Month;Jan;?
77;Order_Month;Mar;?
708;Order_Year;1967;?
613;Delivery_Total;4;?
614;Delivery_Total;7;?
456;Customer_Name;ICBC Leasing;?
457;Customer_Name;Eastern Air Lines;Purdue Airlines
878;Delivery_Total;2;?
27;Order_Year;2005;?
28;Order_Year;2005;?
391;Order_Month;Jul;?
392;Order_Month;Oct;?
393;Order_Month;Jan;?
211;Engine;CF;PW
809;Engine;GE;?
810;Engine;PW;?
811;Engine;PW;?
422;Order_Month;Jan;?
423;Order_Month;Jan;?
18;Delivery_Year_;1987;1989
880;Model_Series;747-400M;?
505;Order_Total;1;?
529;Order_Month;May;?
601;Order_Year;1965;?
482;Model_Series;737-400;BBJ
483;Model_Series;737-200;?
341;Order_Year;2016;?
342;Order_Year;2016;?
343;Order_Year;2007;?
625;Order_Month;Mar;?
626;Order_Month;Nov;?
843;Model_Series;737-800;?
844;Model_Series;DC-8;?
845;Model_Series;747-400M;?
629;Delivery_Total;3;?
630;Delivery_Total;5;?
737;Delivery_Year_;2019;?
738;Delivery_Year_;1981;?
735;Order_Total;1;?
736;Order_Total;1;?
737;Order_Total;1;?
492;Customer_Name;British Eagle International;?
493;Customer_Name;Frontier Airlines;?
494;Customer_Name;Royal Jordanian;?
285;Delivery_Total;1;2
376;Order_Month;Feb;?
377;Order_Month;Apr;?
378;Order_Month;Jan;?
105;Order_Year;1997;?
106;Order_Year;1988;?
476;Country;United Arab Emirates;?
727;Order_Month;Aug;?
728;Order_Month;Jan;?
729;Order_Month;Jul;?
447;Customer_Name;Executive Jet Aviation;?
448;Customer_Name;Air New Zealand;?
149;Model_Series;737-800;?
150;Model_Series;MD-80;?
411;Delivery_Total;2;?
412;Delivery_Total;1;?
413;Delivery_Total;3;8
538;Region;Europe;?
511;Model_Series;757-200;?
512;Model_Series;737-800;?
496;Order_Month;Jan;?
497;Order_Month;Jun;?
775;Model_Series;777-300ER;?
554;Country;Zimbabwe;Ethiopia
555;Country;USA;Peru
866;Model_Series;737-800;?
17;Engine;CF;CF
18;Engine;PW;RR
624;Order_Month;Feb;?
825;Region;North America;?
283;Delivery_Total;1;?
284;Delivery_Total;3;?
845;Delivery_Total;1;?
846;Delivery_Total;1;6
847;Delivery_Total;5;2
659;Region;North America;?
660;Region;Europe;?
661;Region;North America;?
815;Order_Total;1;?
480;Region;Europe;?
502;Customer_Name;Continent Air Paris;Continent Air Paris
503;Customer_Name;McDonnell Douglas;?
504;Customer_Name;MSA-Malaysia/Singapore A/L;?
